pkSeqID	proto	saddr	sport	daddr	dport	seq	stddev	N_IN_Conn_P_SrcIP	min	state_number	mean	N_IN_Conn_P_DstIP	drate	srate	max	attack	category	subcategory
792371	udp	192.168.100.150	48516	192.168.100.3	80	175094	0.226784	100	4.100436	4	4.457383	100	0	0.404711	4.719438	1	DoS	UDP
2056418	tcp	192.168.100.148	22267	192.168.100.3	80	143024	0.451998	100	3.439257	1	3.806172	100	0.225077	0.401397	4.44293	1	DDoS	TCP
2795650	udp	192.168.100.149	28629	192.168.100.3	80	167033	1.931553	73	0	4	2.731204	100	0	0.407287	4.138455	1	DDoS	UDP
2118009	tcp	192.168.100.148	42142	192.168.100.3	80	204615	0.428798	56	3.271411	1	3.626428	100	0	0.343654	4.2297	1	DDoS	TCP
303688	tcp	192.168.100.149	1645	192.168.100.5	80	40058	2.058381	100	0	3	1.188407	100	0	0.135842	4.753628	1	DoS	TCP
420025	tcp	192.168.100.149	39733	192.168.100.5	80	156396	2.177835	36	0	3	1.539962	36	0	0.127912	4.619887	1	DoS	TCP
3008812	udp	192.168.100.147	10800	192.168.100.3	80	118034	1.368196	100	1.97518	4	3.910081	100	0	1.02512	4.885159	1	DDoS	UDP
1064106	udp	192.168.100.150	19625	192.168.100.3	80	184672	1.788452	100	0	4	3.576574	100	0	0.446612	4.49208	1	DoS	UDP
3258414	udp	192.168.100.147	22692	192.168.100.3	80	105486	0.822443	100	2.98003	4	3.982845	100	0	1.003092	4.994536	1	DDoS	UDP
1793063	tcp	192.168.100.148	39738	192.168.100.3	80	141822	0.030759	73	0.143091	1	0.173851	100	0.103113	0.309338	0.20461	1	DDoS	TCP
3652525	tcp	192.168.100.149	40209	192.168.100.5	1334	29263	0	100	0.004534	1	0.004534	100	0	0	0.004534	1	Reconnaissance	Service_Scan
2012355	tcp	192.168.100.148	2808	192.168.100.3	80	98961	1.902401	100	0	3	2.643317	100	0	0.271451	4.398972	1	DDoS	TCP
2003856	tcp	192.168.100.147	36026	192.168.100.3	80	90462	0.170796	100	3.26539	1	3.503918	100	0.14778	0.408009	3.656128	1	DDoS	TCP
